匂,にお∙う fragrant
霊,たま/レイ spirits
圭,ケイ square jewel
猛,モウ fierce
緖,お/ショ end of thread
濤,なみ/トウ waves
賢,かしこ∙い/ケン intelligent
剋,かつ/コク victory
冬,ふゆ/トウ winter
立,た∙つ/リツ stand up
拜,おが∙む/ハイ worship
率,ひき∙いる/ソツ ratio
菜,な/サイ vegetable
傲,おご∙る/ゴウ be proud
銀,しろがね/ギン silver
鯲,どじょう loach
泳,およ∙ぐ/エイ swim
睫,まつげ/ショウ eyelashes
曙,あけぼの/ショ dawn
訊,き∙く/ジン request
匿,かくま∙う/トク hide
坊,ボウ boy
頼,たの∙む/ライ trust
疵,きず/シ crack
妾,めかけ/ショウ concubine
玉,たま/ギョク jewel
徑,みち/ケイ path
債,サイ bond
押,お∙す/オウ push
肚,はら/ト belly
逼,せま∙る/フク urge
礁,ショウ reef
娶,めと∙る/シュ marry
枚,マイ sheet of...
閻,エン town
雙,たぐい/ソウ pair
慌,あわ∙てる/コウ disconcerted
瞳,ひとみ/ドウ pupil (of eye)
羊,ひつじ/ヨウ sheep
茶,チャ tea
甚,はなは∙だ/ジン tremendously
咤,しか∙る/タ clicking (with tongue)
佃,つくだ/テン cultivated rice field
翠,かわせみ/スイ green
琵,ビ glissando on strings
鰔,かれい/カン flatfish
漱,くちすす∙ぐ/ソウ gargle
録,しる∙す/ロク record
隙,すき/ゲキ crevice
含,ふく∙む/ガン contain
剛,ゴウ sturdy
櫛,くし/シツ comb
衡,コウ equilibrium
説,と∙く/セツ opinion
朦,おぼろ/モウ dim
丹,に/タン rust-colored
宵,よい/ショウ wee hours
滴,しずく/テキ drip
描,えが∙く/ビョウ sketch
藍,あい/ラン indigo
圀,くに/コク country
醒,さ∙ます/セイ awake
狼,おおかみ/ロウ wolf
瓜,うり/カ melon
穀,コク cereals
伍,いつつ/ゴ five
瓢,ひさご/ヒョウ gourd
賄,まかな∙う/ワイ bribe
普,あまね∙く/フ universal
隆, prosperous
麥,むぎ/バク wheat
計,はか∙る/ケイ plot
粗,あら∙い/ソ coarse
悉,つ∙きる/シツ all
合,あ∙う/ゴウ fit
賊,ゾク burglar
磚,かわら/セン tile
脩,おさ∙める/シュウ dried meat
壕,ほり/コウ trench
口,くち/コウ mouth
促,うなが∙す/ソク stimulate
宣,のたま∙う/セン proclaim
師,いくさ/シ expert
鉾,ほこ/ボウ halberd
刎,は∙ねる/フン decapitate
列,レツ file
額,ひたい/ガク forehead
活,い∙きる/カツ lively
耆,おい∙る/キ senility
泰,タイ peaceful
税,ゼイ tax
靭,うつぼ/ジン soft
脳,のうずる/ノウ brain
爺,じい/ヤ old man
丈,たけ/ジョウ length
秘,ひ∙める/ヒ secret
石,いし/セキ stone
宝,たから/ホウ treasure
殷,さかん/イン flourishing
嗅,か∙ぐ/キュウ smell
給,たま∙う/キュウ salary
吟,ギン versify
績,セキ exploits
鵜,う/テイ cormorant
神,かみ/シン gods
頤,おとがい/イ chin
木,き/ボク tree
勲,いさお/クン meritorious deed
肘,ひじ/チュウ elbow
吠,ほえ∙る/ハイ bark
方,かた/ホウ direction
窓,まど/ソウ window
蠅,はえ/ヨウ fly
何,なに/カ what
丸,まる/ガン round
匙,さじ/シ spoon
併,あわ∙せる/ヘイ join
填,は∙まる/テン fill in
牙,きば/ガ tusk
混,ま∙じる/コン mix
却,かえ∙って/キャク instead
紹,ショウ introduce
勇,いさ∙む/ユウ courage
諦,あきら∙める/テイ truth
剰,あまつさえ/ジョウ surplus
躊,ためら∙う/チュウ hesitate
積,つ∙む/セキ volume
妓,わざおぎ/ギ stretch
財,たから/ザイ property
遡,さかのぼ∙る/ソ go upstream
拠,よ∙る/キョ foothold
掬,きく∙す/キク scoop up water with the hand
雫,しずく/ダ drop
倅,せがれ/サイ son
絨,ジュウ wool cloth
斬,き∙る/ザン beheading
悟,さと∙る/ゴ enlightenment
剣,つるぎ/ケン sabre
賤,いや∙しい/セン despise
暇,ひま/カ spare time
涸,か∙れる/コ dry up
兆,きざ∙す/チョウ portent
台,うてな/ダイ pedestal
亨,とお∙る/コウ pass through
葬,ほうむ∙る/ソウ interment
陪,バイ obeisance
谷,たに/コク valley
亦,また/エキ also
變,か∙わる/ヘン change
革,かわ/カク leather
輯,あつ∙める/シュウ gather
懺,くい∙る/ザン regret
親,おや/シン parent
酌,く∙む/シャク bar-tending
矮,ひく∙い/ワイ low
悪,わる∙い/アク bad
疱,もがさ/ホウ smallpox
怠,おこた∙る/タイ neglect
賣,う∙る/バイ sell
蚤,のみ/ソウ flea
岐,キ branch off
魔,マ witch
浪,ロウ wandering
坪,つぼ/ヘイ two-mat area
窺,うかが∙う/キ lie in wait
莢,さや/キョウ pod
父,ちち/フ father
縱,たて/ジュウ indulge in
払,はら∙う/フツ pay
守,まも∙る/シュ guard
語,かた∙る/ゴ word
寮,リョウ dormitory
突,つ∙く/トツ stab
路,-じ/ロ path
呂,せぼね/ロ spine
舁,か∙く/ヨ bear
罵,ののし∙る/バ abuse
嗄,か∙らす/サ hoarse
褐,カツ brown
鮎,あゆ/デン freshwater trout
箕,み/キ winnowing
鮴,めばる bullhead
若,わか∙い/ジャク young
楯,たて/ジュン shield
撥,は∙ねる/ハツ brush up
腹,はら/フク abdomen
蛛,チュ spider
諮,はか∙る/シ consult with
刑,ケイ punish
心,こころ/シン heart
諭,さと∙す/ユ rebuke
踊,おど∙る/ヨウ jump
久,ひさ∙しい/キュウ long time
醤,ひしお/ショウ a kind of miso
塡,はま∙る/テン fill in
掌,てのひら/ショウ manipulate
配,くば∙る/ハイ distribute
濡,ぬれ∙る/ジュ get wet
暮,く∙れる/ボ evening
撫,な∙でる/ブ stroke
釈,とく/シャク explanation
灸,やいと/キュウ moxa cautery
落,お∙ちる/ラク fall
閣,カク tower
昼,ひる/チュウ daytime
斜,なな∙め/シャ diagonal
幣,ぬさ/ヘイ cash
淺,あさ∙い/セン shallow
瓶,かめ/ビン bottle
飽,あ∙きる/ホウ sated
樣,さま/ヨウ Esq.
援,エン abet
郭,くるわ/カク enclosure
込,-こ∙む crowded
人,ひと/ジン person
宙,チュウ mid-air
署,ショ signature
榛,はしばみ/シン hazelnut
矯,た∙める/キョウ rectify
莱,あかざ/ライ goosefoot
壇,ダン podium
二,ふた/ニ two
暦,こよみ/レキ calendar
裔,すそ/エイ descendant
魏,たか∙い/ギ high
義,ギ righteousness
束,たば/ソク bundle
着,き∙る/チャク don
幌,ほろ/コウ canopy
背,せ/ハイ stature
羅,うすもの/ラ gauze
事,こと/ジ matter
傍,かたわ∙ら/ボウ bystander
瞠,みは∙る/ドウ stare intently
兩,ふたつ/リョウ old Japanese coin
鰉,ちょうざめ/コウ sturgeon
獰,わる∙い/ドウ bad
逆,さか/ギャク inverted
俱,ともに/ク all
瞞,だま∙す/マン deception
挫,くじ∙く/ザ crush
蝕,むしば∙む/ショク eclipse
滲,し∙みる/シン imbued with
港,みなと/コウ harbor
亞,つ∙ぐ/ア rank
諄,ひちくど∙い/シュン tedious
余,あま∙る/ヨ too much
噴,ふ∙く/フン erupt
峙,そばだ∙つ/ジ tower
川,かわ/セン stream
解,と∙く/カイ unravel
卵,たまご/ラン egg
恋,こ∙う/レン romance
鱆,たこ/ショウ octopus
鍵,かぎ/ケン key
可,-べ∙き/カ can
珀,ハク amber
往,い∙く/オウ journey
葦,しお∙れる/イ reed
叫,さけ∙ぶ/キョウ shout
癖,くせ/ヘキ mannerism
綽,あだ/シャク loose
呼,よ∙ぶ/コ call
絢,ケン brilliant fabric design
位,くらい/イ rank
購,コウ subscription
注,そそ∙ぐ/チュウ pour
莫,くれ/バク must not
戊,つちのえ/ボ 5th calendar sign
模,モ imitation
掛,か∙ける/カイ hang
徠,きた∙す/ライ induce
査,サ investigate
督,トク coach
癒,い∙える/ユ healing
徘,さまよ∙う/ハイ wander
耀,かがや∙く/ヨウ shine
祠,ほこら/シ small shrine
調,しら∙べる/チョウ tune
冠,かんむり/カン crown
鴻,おおとり/コウ large bird
檄,げき∙する/ケキ written appeal
磨,みが∙く/マ grind
疊,たた∙む/ジョウ tatami
粟,あわ/ゾク millet
池,いけ/チ pond
欠,か∙ける/ケツ lack
惣,いそが∙しい/ソウ all
蕃,バン grow luxuriously
鍼,はり/シン needle
陳,ひ∙ねる/チン exhibit
裸,はだか/ラ naked
捲,ま∙く/ケン roll
城,しろ/ジョウ castle
租,ソ tariff
常,つね/ジョウ usual
墾,コン ground-breaking
穹,あめ/キュウ sky
尹,おさ/イン an official rank
惇,あつ∙い/シュン sincere
